Rs,Qs,Ns
34746;63? ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
34441;yea ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
26783;i don't think they're that gr,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
30782;63 ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
30782;k...too many 1mils ,What was the population of London in July 2010?,4
30782;so lets go with that ,What was the population of London in July 2010?,4
27502;does anyone know the pop of NYC or philly? ,What was the population of London in July 2010?,4
26783;it's 10 million ,What was the population of London in July 2010?,4
34746;i think it's smaller than a mil ,What was the population of London in July 2010?,4
34746;really? ,What was the population of London in July 2010?,4
34746;why ,What was the population of London in July 2010?,4
32418;isn't nyc 12 million? ish? ,What was the population of London in July 2010?,4
34441;10m sounds reasonable ,What was the population of London in July 2010?,4
"30257;philly is 6 mil, and london is huge ",What was the population of London in July 2010?,4
26783;no i mean the numbers on the side ,What was the population of London in July 2010?,4
30782;oh yea?..no idea ,What was the population of London in July 2010?,4
30782;ohk...lets go woth 10 mil then ,What was the population of London in July 2010?,4
34441;15mil? ,What was the population of London in July 2010?,4
26783;,What was the population of London in July 2010?,4
34746;,What was the population of London in July 2010?,4
30782;k ,What was the population of London in July 2010?,4
31122;10 mil ,What was the population of London in July 2010?,4
30782;any idea hw many qs left? ,What was the population of London in July 2010?,4
34746;10 ,What was the population of London in July 2010?,4
32418;8-10 ,What was the population of London in July 2010?,4
32418;didn't count ,What was the population of London in July 2010?,4
34746;,What was the population of London in July 2010?,4
26783;,What was the population of London in July 2010?,4
34566;hello? ,What's the length of the world's longest music video in minutes by 2010?,2
31382;26 minutes? ,What's the length of the world's longest music video in minutes by 2010?,2
34704;45?  ,What's the length of the world's longest music video in minutes by 2010?,2
29727;40 minutes is probably better ,What's the length of the world's longest music video in minutes by 2010?,2
33922;hi it cant be 100 mins ,What's the length of the world's longest music video in minutes by 2010?,2
33780;i said 40 ,What's the length of the world's longest music video in minutes by 2010?,2
34015;i said 26 but i have no idea ,What's the length of the world's longest music video in minutes by 2010?,2
34566;yea i think that's too high ,What's the length of the world's longest music video in minutes by 2010?,2
34015;it was a guess ,What's the length of the world's longest music video in minutes by 2010?,2
34566;40 could be good ,What's the length of the world's longest music video in minutes by 2010?,2
34566;i'm thinking of that trapped in the closet video ,What's the length of the world's longest music video in minutes by 2010?,2
29727;i agree with 40 ,What's the length of the world's longest music video in minutes by 2010?,2
34015;how long is that?,What's the length of the world's longest music video in minutes by 2010?,2
33922;40 is also high i think ,What's the length of the world's longest music video in minutes by 2010?,2
34704;40 seems good ,What's the length of the world's longest music video in minutes by 2010?,2
31382;i think it might be high  ,What's the length of the world's longest music video in minutes by 2010?,2
34704;this is worldwide though ,What's the length of the world's longest music video in minutes by 2010?,2
34566;can the person who picked 40 explain? ,What's the length of the world's longest music video in minutes by 2010?,2
34566;i know it's one of the leading causes of death ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31365;15000?? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34704;woooooow ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31365;its %age ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34566;lol ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34015;hahah i read the question wrong ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29727;30 percent sounds good ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34718;around 35% ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34015;awkward ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31365;i guess 2-3 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34704;i said 35  ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
33922;yea 30 seems right ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34566;lots of people have around 30 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31365;thats too high ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34704;so 35 or 30? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31365;5 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
33922;30 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31382;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
29727;we could go in the middle so 32? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31382;sounds high ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
33922;alright ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34015;sounds good ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34704;32 sounds good ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34566;well we have to be within 20% accuracy so it's whatever ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31382;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
31382;okay 32 it is ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34718;around 4% ,What was the inflation rate in the U.S. in March 2012?,11
33922;yes agree ,What was the inflation rate in the U.S. in March 2012?,11
31365;less than that ,What was the inflation rate in the U.S. in March 2012?,11
33780;i dont know anything about inflation rates ,What was the inflation rate in the U.S. in March 2012?,11
34015;you positive? ,What was the inflation rate in the U.S. in March 2012?,11
34566;do people know this stat for a fact? ,What was the inflation rate in the U.S. in March 2012?,11
29727;i really dont think its that high ,What was the inflation rate in the U.S. in March 2012?,11
34718;yea i m sure ,What was the inflation rate in the U.S. in March 2012?,11
31382;yea gov't estimates for 2% annually ,What was the inflation rate in the U.S. in March 2012?,11
31365;around 2-3 ,What was the inflation rate in the U.S. in March 2012?,11
29727;inflation in the u.s. is historically around 2-3 percent ,What was the inflation rate in the U.S. in March 2012?,11
31365;2.5% ,What was the inflation rate in the U.S. in March 2012?,11
31365;i think ,What was the inflation rate in the U.S. in March 2012?,11
29727;sounds good to me ,What was the inflation rate in the U.S. in March 2012?,11
31382;yea im thinkin 2.5 ,What was the inflation rate in the U.S. in March 2012?,11
34704;2.5% ,What was the inflation rate in the U.S. in March 2012?,11
33922;so 3?? ,What was the inflation rate in the U.S. in March 2012?,11
31365;sounds good ,What was the inflation rate in the U.S. in March 2012?,11
34718;3% ,What was the inflation rate in the U.S. in March 2012?,11
34015;ok ,What was the inflation rate in the U.S. in March 2012?,11
31382;i think 2.5 is safest ,What was the inflation rate in the U.S. in March 2012?,11
31365;2.5 ,What was the inflation rate in the U.S. in March 2012?,11
34566;,What was the inflation rate in the U.S. in March 2012?,11
33922;,What was the inflation rate in the U.S. in March 2012?,11
29727;i like 2.5 ,What was the inflation rate in the U.S. in March 2012?,11
31382;2.5!!! ,What was the inflation rate in the U.S. in March 2012?,11
33922;ok 2.5 then ,What was the inflation rate in the U.S. in March 2012?,11
34566;holler ,What was the inflation rate in the U.S. in March 2012?,11
33922;:) ,What was the inflation rate in the U.S. in March 2012?,11
31365;yeah ,What was the inflation rate in the U.S. in March 2012?,11
34566;,What was the inflation rate in the U.S. in March 2012?,11
33922;,What was the inflation rate in the U.S. in March 2012?,11
31382;who was talking about r ,What was the inflation rate in the U.S. in March 2012?,11
33922;i feel 300000 ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34015;does anyone have any idea? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
29727;what order of magnitude are people thinking? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
29727;millions? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31382;i think its millions ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34566;how big is texas? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34566;can we get some sort of reference? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34704;millions? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31365;not million ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31382;the nations in like 3000-4000 miles across ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34566;thousands ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31365;i feel hundred thousand ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
33780;i dont think its million either ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34718;new york to sf is 3000 miles ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34015;i was thinking hundred thousands ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31382;times how ever many thousand tall ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31365;ya ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
33922;yea 300 000 ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34704;500000 ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
33922;my guess,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31382;,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34015;500000 sounds good ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31382;i like 500000 ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
29727;sounds good ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34566;seems alright ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31365;so area should be square of 3000 ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
"34566;900,000? ",What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
33922;,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34566;,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
31365;power of 6 ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
33922;this is in millions ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34566;well if the us is 3000 to 4000 across... ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
"29727;I know the circumference is 6,542 km ",What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34566;oh let's do math then ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
31365;does anyone has any idea regarding the radius of the earth ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
29727;actually thats the radius ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
29727;my bad ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34566;math too hard. ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34718;thats around 20000 ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
31365;so it should be 6542 * 2 * pi ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
31382;5 km equal  to 3 mile,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34566;40000*pi? ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
31365;around 40000 kms ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34566;120000,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
29727;is that in miles? ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
31382;that seems low ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
31365;so like 25000 miles ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34566;no that's in miles ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
34718;yea true ,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
33922;,What's the equatorial circumference of the Earth in miles? (1 km ~ 0.621 miles),5
31382;i think its like 25 ,What percentage of the people in the U.S. is Catholic?,14
34704;30 seems reasonable  ,What percentage of the people in the U.S. is Catholic?,14
33780;yeah 30 ,What percentage of the people in the U.S. is Catholic?,14
31382;im good with that ,What percentage of the people in the U.S. is Catholic?,14
34718;30 ,What percentage of the people in the U.S. is Catholic?,14
29727;sounds good ,What percentage of the people in the U.S. is Catholic?,14
31365;isnt that less ,What percentage of the people in the U.S. is Catholic?,14
34566;that's a really big number though a,What percentage of the people in the U.S. is Catholic?,14
34566;rent there a ton types of christians? ,What percentage of the people in the U.S. is Catholic?,14
34015;that is big ,What percentage of the people in the U.S. is Catholic?,14
33922;yea i think it should be 20 ,What percentage of the people in the U.S. is Catholic?,14
31382;100 million people if its 33% ,What percentage of the people in the U.S. is Catholic?,14
31365;30 ,What percentage of the people in the U.S. is Catholic?,14
34015;and people who dont practice ,What percentage of the people in the U.S. is Catholic?,14
34566;hm ,What percentage of the people in the U.S. is Catholic?,14
31382;and its catholic not christian ,What percentage of the people in the U.S. is Catholic?,14
31382;,What percentage of the people in the U.S. is Catholic?,14
33922;,What percentage of the people in the U.S. is Catholic?,14
34566;,What percentage of the people in the U.S. is Catholic?,14
31365;25-30 seems ,What percentage of the people in the U.S. is Catholic?,14
31365;fine' ,What percentage of the people in the U.S. is Catholic?,14
31382;i think 20 ,What percentage of the people in the U.S. is Catholic?,14
34704;25? ,What percentage of the people in the U.S. is Catholic?,14
31365;25 ,What percentage of the people in the U.S. is Catholic?,14
29727;im feeling 25 ,What percentage of the people in the U.S. is Catholic?,14
31365;ya ,What percentage of the people in the U.S. is Catholic?,14
34718;lets take 25 ,What percentage of the people in the U.S. is Catholic?,14
31382;thats 60 million people if 20 ,What percentage of the people in the U.S. is Catholic?,14
33922;ok ,What percentage of the people in the U.S. is Catholic?,14
31365;ok ,What percentage of the people in the U.S. is Catholic?,14
34566;,What percentage of the people in the U.S. is Catholic?,14
34718;,What percentage of the people in the U.S. is Catholic?,14
33922;,What percentage of the people in the U.S. is Catholic?,14
31365;,What percentage of the people in the U.S. is Catholic?,14
31365;25 ,What percentage of the people in the U.S. is Catholic?,14
31382;,What percentage of the people in the U.S. is Catholic?,14
31382;under 10 mil i think ,What was the population of London in July 2010?,4
34718;15 million ,What was the population of London in July 2010?,4
31365;what magnitude? ,What was the population of London in July 2010?,4
33922;around 10 mil ,What was the population of London in July 2010?,4
31365;around 1 million ,What was the population of London in July 2010?,4
29727;definitely millions ,What was the population of London in July 2010?,4
34704;def under 10 mill  ,What was the population of London in July 2010?,4
33922;not 1 mil ,What was the population of London in July 2010?,4
29727;im thinking 3-5 million ,What was the population of London in July 2010?,4
"31382;london itself isnt very big, the suburbs are what make it large ",What was the population of London in July 2010?,4
34704;yea ,What was the population of London in July 2010?,4
34015;more than 1 mill ,What was the population of London in July 2010?,4
33922;yea true ,What was the population of London in July 2010?,4
34704;i think 3 mil  ,What was the population of London in July 2010?,4
34718;its a crowded city ,What was the population of London in July 2010?,4
31382;i think between 5-10 mill ,What was the population of London in July 2010?,4
34704;5 mil? ,What was the population of London in July 2010?,4
34015;i think 5 or 6 ,What was the population of London in July 2010?,4
33922;lets say 5 mil ,What was the population of London in July 2010?,4
31365;but being a city 10 millions is too much ,What was the population of London in July 2010?,4
34566;how many in nyc? ,What was the population of London in July 2010?,4
29727;5 mil seems high to me ,What was the population of London in July 2010?,4
31365;i think 1 mil ,What was the population of London in July 2010?,4
31382;,What was the population of London in July 2010?,4
31365;,What was the population of London in July 2010?,4
33922;,What was the population of London in July 2010?,4
31382;3 mil? ,What was the population of London in July 2010?,4
34704;seems really high i think 3 mil ,What was the population of London in July 2010?,4
33922;1 mil seems too low ,What was the population of London in July 2010?,4
29727;i think 3 mil too ,What was the population of London in July 2010?,4
31382;3 million? ,What was the population of London in July 2010?,4
31365;2.5 m ,What was the population of London in July 2010?,4
34704;3 mil ,What was the population of London in July 2010?,4
31382;lets go 3 ,What was the population of London in July 2010?,4
31365;,What was the population of London in July 2010?,4
31382;,What was the population of London in July 2010?,4
33922;,What was the population of London in July 2010?,4
34718;around 300 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34015;40? ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34566;wow fast trains ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33922;i think it should be between 200 -250 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31382;in china the new one does like 200-300 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31365;i think around 500 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
29727;400? ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31382;no way 500 thats airplane speed ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33780;its cant be more than 200 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31365;yeah but testing for the fastest can be around 500 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33922;220 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31382;yea 300 max ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34704;300? ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31382;im thinking low 200s ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33780;theres no waty ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34718;300 should be good ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34704;testing.. valid point  ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34566;yea that is a good thiing to consider ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31365;definitely more than 200 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
34704;350? ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31382;,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31365;,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
29727;350 sounds good ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
33922;350 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31365;it should be 500 ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31365;there is already one running with 500 kmph speed ,What's the maximum testing speed of the fastest train in the world in miles per hour? (1 kmh ~ 0.621 mph),8
31382;30-40 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34718;less than 1% ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33922;i think 35000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
"29727;i remember reading the statistic. its in the 40,000s ",What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34704;i think its 40000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33922;wont that be a little high ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31365;i think considering some of them being unemployed ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29727;i think its slightly more than that ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34718;45000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
"31382;i agree, and this is in 2010 post crash ",What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34566;yea i thought it was lower ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31365;it should be 15000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31382;no way 15000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34704;15000 is way too low ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33922;it should be in 30s ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34704;30000? ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31382;30s ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33922;y,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31365;,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31382;,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33922;yea ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31382;30 it is? ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31365;25000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33922;30000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
29727;i think thats still too low ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34704;so 30 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
34566;30000 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31382;going 30 ,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
33922;,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31365;,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31382;,What was the U.S. GDP per capita (income per person) in 2010 according to World Bank?,6
31365;15 ,What percentage of the U.S. land does Texas occupy?,10
34566;20 is too high ,What percentage of the U.S. land does Texas occupy?,10
31382;under 20 for sure ,What percentage of the U.S. land does Texas occupy?,10
33922;15? ,What percentage of the U.S. land does Texas occupy?,10
34704;yea ,What percentage of the U.S. land does Texas occupy?,10
34566;a fifth of the country doesnt make sense ,What percentage of the U.S. land does Texas occupy?,10
31365;ya ,What percentage of the U.S. land does Texas occupy?,10
31382;i still think 15 is high ,What percentage of the U.S. land does Texas occupy?,10
34704;10? ,What percentage of the U.S. land does Texas occupy?,10
34015;there are 52 states no way its 15 ,What percentage of the U.S. land does Texas occupy?,10
29727;10 sounds good ,What percentage of the U.S. land does Texas occupy?,10
31365;15 is good ,What percentage of the U.S. land does Texas occupy?,10
34718;10% ,What percentage of the U.S. land does Texas occupy?,10
33922;how big is it  ,What percentage of the U.S. land does Texas occupy?,10
31382;but RI doesnt count ,What percentage of the U.S. land does Texas occupy?,10
34566;yea idk it may be smaller than expected ,What percentage of the U.S. land does Texas occupy?,10
34566;RI? ,What percentage of the U.S. land does Texas occupy?,10
34015;i think 7 or 8 ,What percentage of the U.S. land does Texas occupy?,10
34704;7? ,What percentage of the U.S. land does Texas occupy?,10
31382;and did you just say 52 states ?,What percentage of the U.S. land does Texas occupy?,10
31365;15 ,What percentage of the U.S. land does Texas occupy?,10
31365;,What percentage of the U.S. land does Texas occupy?,10
31382;,What percentage of the U.S. land does Texas occupy?,10
33922;,What percentage of the U.S. land does Texas occupy?,10
34566;50 nifty united states... ,What percentage of the U.S. land does Texas occupy?,10
31382;so 7? ,What percentage of the U.S. land does Texas occupy?,10
34704;7 ,What percentage of the U.S. land does Texas occupy?,10
34718;7 ,What percentage of the U.S. land does Texas occupy?,10
29727;sounds good ,What percentage of the U.S. land does Texas occupy?,10
31365;15 ,What percentage of the U.S. land does Texas occupy?,10
34015;7 ,What percentage of the U.S. land does Texas occupy?,10
31365;,What percentage of the U.S. land does Texas occupy?,10
33922;,What percentage of the U.S. land does Texas occupy?,10
31382;,What percentage of the U.S. land does Texas occupy?,10
33922;i know its burj khalifa ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
29727;4000? ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31382;no way its more than 5500 thats a mile ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34566;yea khalifa ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33922;n its 225 m ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;i think 250m ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34718;burj khalifa is around 950 m tall ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33922;so my guess is 750 ft ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;so around 750 ft ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;750 ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;ya ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31382;950m or 250? thats a big separation ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31382;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33922;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34718;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34718;950 m ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
34704;750? ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;750 ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;ft ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
29727;sounds good ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31382;750 m is like 2100 ft ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;950 m meaning 1 km ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31365;not possible ,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31382;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
33922;,How tall is the highest man-made building in feet? (1 meter ~ 3.281 feet),3
31382;right after the crash ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
34566;two people say 10 ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
31365;i think around 20 ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
34566;with the 6 level confidence ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
29727;15 sounds good ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
31382;yea i think a fifth is high ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
34566;yea lots say 20 ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
31365;20 after the crash ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
34718;10 sounds good ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
33922;but it says americans ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
34704;20 ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
31382;15 in the middle? ,What percentage of Americans didn't pay income taxes in 2009 because they didn't have the required minimum income?,12
